"start.station.id","2020","2019","2018","2017","2016"
72,156,495,293,397,223
79,1079,1741,1748,1438,1271
82,132,269,148,220,157
83,14,25,13,13,28
116,349,338,NA,278,290
119,5,3,4,5,34
120,13,5,9,15,11
127,1086,1408,1222,1105,744
128,1023,1418,1080,1247,908
143,89,117,97,118,104
144,22,24,15,12,31
146,1144,2512,2022,1799,1458
150,141,191,100,132,96
151,1056,1620,1320,1412,1340
152,47,NA,NA,951,829
157,94,43,34,107,51
161,450,746,123,734,614
164,46,65,74,36,37
167,41,91,67,79,141
168,46,370,288,354,219
173,156,93,101,136,88
174,119,133,51,73,78
195,384,1645,1121,1038,850
212,336,596,481,495,422
216,35,25,23,48,23
217,130,151,126,189,199
223,316,380,234,249,NA
224,572,769,NA,NA,495
228,33,44,47,60,57
229,451,723,816,957,792
236,254,464,318,259,294
237,259,341,287,278,218
238,597,820,647,751,633
239,48,33,10,11,31
241,60,42,15,28,27
242,9,12,18,37,26
244,19,8,13,49,22
245,35,16,10,23,14
247,551,707,263,213,166
248,433,573,573,666,483
249,548,1151,996,1336,972
250,483,523,NA,NA,NA
251,776,917,617,713,722
252,361,396,314,335,197
254,209,331,202,147,169
257,1298,3481,1943,2443,1195
258,33,9,17,49,12
259,384,362,395,370,261
260,458,418,334,318,179
261,76,126,30,96,56
262,34,39,30,63,13
264,635,711,640,608,637
265,225,403,354,373,316
267,63,68,59,73,40
268,517,1125,1162,1138,1116
270,16,22,27,22,36
274,43,31,14,35,11
275,28,3,20,18,6
276,1099,1601,1406,1535,1281
278,73,83,24,64,55
280,302,453,240,274,209
281,38,73,68,115,42
282,29,11,7,10,34
284,507,561,NA,520,521
285,499,654,496,636,438
289,4,5,28,5,1
291,134,212,122,192,89
293,328,535,556,543,49
295,327,469,319,280,340
297,289,238,159,155,106
298,40,18,41,NA,33
301,320,389,221,268,287
302,86,90,69,54,124
303,633,1071,887,896,650
304,684,1190,1000,1277,961
305,76,88,43,54,27
307,530,873,537,453,540
308,526,717,599,579,524
309,983,1925,1179,1114,590
310,64,52,43,40,49
311,329,459,374,392,297
312,324,607,416,488,546
313,22,23,23,26,68
315,562,1101,780,639,344
316,616,1176,800,102,615
317,244,254,228,159,256
319,1435,1849,1447,1296,668
320,1485,1794,1398,1668,1476
321,91,158,105,184,150
323,61,115,149,168,313
324,24,8,43,16,64
325,286,167,159,190,97
326,198,445,221,183,134
327,1123,3945,2794,3032,2093
328,1637,2086,1915,1868,762
330,445,1121,1145,1132,907
331,215,261,187,128,201
332,141,219,105,109,133
334,335,347,281,298,252
335,318,572,432,466,376
336,376,704,589,513,415
340,157,230,266,173,127
341,83,112,113,76,72
342,59,178,128,95,87
343,12,24,18,60,31
344,12,3,13,18,4
346,657,785,433,551,533
347,1026,1584,1485,1551,1065
349,226,367,153,196,185
350,360,406,410,272,284
351,287,421,375,479,319
353,50,24,5,35,31
354,20,9,10,11,4
355,917,1509,1287,1526,1448
356,29,167,103,108,189
358,1540,2772,1654,1893,1130
359,55,130,173,226,186
360,975,1242,716,762,691
361,439,606,607,518,498
362,75,63,37,63,38
363,1634,2058,1649,1633,1239
364,10,9,12,22,6
366,22,25,51,63,50
367,114,NA,NA,NA,61
368,1053,886,1123,1187,930
369,303,272,221,223,246
372,7,2,3,6,4
373,6,5,NA,NA,4
376,698,873,562,1014,488
377,611,2084,1825,1818,1327
379,170,243,197,182,220
380,1008,958,754,765,680
383,417,585,414,402,361
385,90,34,NA,38,45
386,395,630,728,914,687
387,621,2488,2911,2645,1807
388,335,350,230,189,244
389,23,84,56,29,21
390,72,87,157,136,187
391,97,54,67,84,98
392,98,234,218,329,114
393,96,209,55,31,49
394,92,161,89,91,71
396,4,7,11,9,13
397,10,13,4,8,17
398,38,3,17,20,19
399,33,11,20,33,30
400,81,124,32,71,53
401,430,688,478,443,440
402,438,533,459,626,342
403,320,538,523,363,NA
405,1026,1934,1504,1490,683
